Id,Service,Original Text,Entity Text,Manual Label,spaCy Entity Text,spaCy Label,Comparison
1,Classroom Technical Assistance,"The team at Classroom Technical Assistance was polite, but the process felt slow. Clearer guidance upfront could help. Clear signage about required documents could speed things up.","The team	",STAFF,,,
1,Classroom Technical Assistance,"The team at Classroom Technical Assistance was polite, but the process felt slow. Clearer guidance upfront could help. Clear signage about required documents could speed things up.",polite,POSITIVE_ASPECT,,,
1,Classroom Technical Assistance,"The team at Classroom Technical Assistance was polite, but the process felt slow. Clearer guidance upfront could help. Clear signage about required documents could speed things up.",the process felt slow,PROCESS_ISSUE,,,
1,Classroom Technical Assistance,"The team at Classroom Technical Assistance was polite, but the process felt slow. Clearer guidance upfront could help. Clear signage about required documents could speed things up.",Clearer guidance upfront,SUGGESTION,,,
1,Classroom Technical Assistance,"The team at Classroom Technical Assistance was polite, but the process felt slow. Clearer guidance upfront could help. Clear signage about required documents could speed things up.",Clear signage,SUGGESTION,,,
1,Classroom Technical Assistance,"The team at Classroom Technical Assistance was polite, but the process felt slow. Clearer guidance upfront could help. Clear signage about required documents could speed things up.","required documents	",RESOURCE,,,
1,Classroom Technical Assistance,"The team at Classroom Technical Assistance was polite, but the process felt slow. Clearer guidance upfront could help. Clear signage about required documents could speed things up.",,,Classroom Technical Assistance,ORG,
1,Classroom Technical Assistance,"The team at Classroom Technical Assistance was polite, but the process felt slow. Clearer guidance upfront could help. Clear signage about required documents could speed things up.",,,Clearer,PERSON,
8,Face-To-Face inquiry assistance,Unsatisfactory visit to Face-To-Face inquiry assistance. Consider setting expectations on wait times and providing step-by-step guidance. Extended hours during peak periods could reduce congestion,Unsatisfactory visit,PROCESS_ISSUE,,,
8,Face-To-Face inquiry assistance,Unsatisfactory visit to Face-To-Face inquiry assistance. Consider setting expectations on wait times and providing step-by-step guidance. Extended hours during peak periods could reduce congestion,setting expectations on wait times,SUGGESTION,,,
8,Face-To-Face inquiry assistance,Unsatisfactory visit to Face-To-Face inquiry assistance. Consider setting expectations on wait times and providing step-by-step guidance. Extended hours during peak periods could reduce congestion,wait times,PROCESS_ISSUE,,,
8,Face-To-Face inquiry assistance,Unsatisfactory visit to Face-To-Face inquiry assistance. Consider setting expectations on wait times and providing step-by-step guidance. Extended hours during peak periods could reduce congestion,providing step-by-step guidance,SUGGESTION,,,
8,Face-To-Face inquiry assistance,Unsatisfactory visit to Face-To-Face inquiry assistance. Consider setting expectations on wait times and providing step-by-step guidance. Extended hours during peak periods could reduce congestion,Extended hours during peak periods,SUGGESTION,,,
8,Face-To-Face inquiry assistance,Unsatisfactory visit to Face-To-Face inquiry assistance. Consider setting expectations on wait times and providing step-by-step guidance. Extended hours during peak periods could reduce congestion,congestion,PROCESS_ISSUE,,,
8,Face-To-Face inquiry assistance,Unsatisfactory visit to Face-To-Face inquiry assistance. Consider setting expectations on wait times and providing step-by-step guidance. Extended hours during peak periods could reduce congestion,,,hours,TIME,
36,Online Inquiry Assistance,Di malinaw yung steps. Sana step-by-step na lang,Di malinaw yung steps,PROCESS_ISSUE,,,
36,Online Inquiry Assistance,Di malinaw yung steps. Sana step-by-step na lang,"step-by-step na lang	",SUGGESTION,,,
36,Online Inquiry Assistance,Di malinaw yung steps. Sana step-by-step na lang,,,Sana,PERSON,
